Industry,Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Segment 6,Segment 7
,,,,Food & beverage packaging,,,
,,,,Personal care & home care packaging,,,
,,,,Pharma packaging,,,
,,,,Consumer goods packaging,,,
,,,,Industrial packaging,,,
,,,Textile fibres,,,,
,,,,All textile fibres,,,
,,,3D Printing materials,,,,
,,,"Others (membranes, tubing, non-packaging applications of film, etc.)",,,,
,Petrochemicals & Oleochemicals,,,,,,
,,Petrochemicals,,,,,
,,Oleochemicals,,,,,
,,Bio-based Feedstocks,,,,,
,,Commodity inorganic chemicals,,,,,
,,Industrial gases,,,,,
,,CO2 as a feedstock,,,,,
,,Hydrogen as a feedstock,,,,,
,,Lubricants,,,,,
,,,Formulated lubricants,,,,
,,,Lubricant base oils,,,,
,,,Lubricant additives,,,,
,,Water Treatment Chemicals,,,,,
,,Process Chemicals,,,,,
,,Catalysts,,,,,
,,Fuel Additives,,,,,
,,Pulp & paper chemicals,,,,,
,,Mining and oilfield chemicals,,,,,
,,Electronic chemicals,,,,,
,,Textile chemicals,,,,,
,Metals & Minerals,,,,,,
,,Ferrous Metals,,,,,
,,Aluminium,,,,,
,,Copper,,,,,
,,"Other non-ferrous metals (inc. Li, Zn, Ni, Co, rare earth metals, precious metals)",,,,,
,,Industrial Minerals,,,,,
,,Ceramics,,,,,
Security,,,,,,,
,Commercial & Public Security,,,,,,
,,Access Control,,,,,
,,,ABC Kiosks,,,,
,,,Access control software,,,,
,,,"Accessories including cards, key pads, door locks, bolt",,,,
,,,AMC - Support and Services,,,,
,,,Area Protection,,,,
,,,Biometrics Controller & Readers,,,,
,,,Facial Recognition S/W & H/W,,,,
,,,Gate Management,,,,
,,,I&C and Support Services,,,,
,,,Identity Management,,,,
,,,Intrusion Detection & Alarms,,,,
,,,Palm Vein Reader,,,,
,,,Parking Management,,,,
,,,Perimeter fencing,,,,
,,,Perimeter Intrusion Detection System (PIDS),,,,
,,,Physical barriers,,,,
,,,RFID Controller & Readers,,,,
,,,Turnstile,,,,
,,,Visitor Management Software,,,,
,,Command & Control,,,,,
,,,Accessories - Command & Control,,,,
,,,Command & Control Software,,,,
,,,GIS - Geographical information systems,,,,
,,,Integrated Command & Control Centre (ICCC),,,,
,,,"IT, Storage, Server",,,,
,,,Network Operations Centre,,,,
,,,PSIM - Physical Security Information Management,,,,
,,,Public service answering points,,,,
,,,Video Wall & Other Display,,,,
,,Communication Equipment,,,,,
,,,2G/3G/4G Connectivity,,,,
,,,5G,,,,
,,,DMR,,,,
,,,Emergency Communication Network,,,,
,,,Fibreoptic,,,,
,,,Intercom Solutions,,,,
,,,LTE,,,,
,,,Network solutions,,,,
,,,PMR,,,,
,,,SATCOM,,,,
,,,SDR,,,,
,,,TETRA,,,,
,,,TSCM (technical surveillance counter-measures),,,,
,,,Wireless Connectivity,,,,
,,Cyber Security,,,,,
,,,"Analytics, Compliance & Big Data",,,,
,,,Cyber Professional Services,,,,
,,,Cyber Security Insurance,,,,
,,,Device Management - Endpoint Protection,,,,
,,,End User Device Security,,,,
